price,quantity,log_price,log_quantity,predicted_log_quantity,residual
1.0900,30358467.8800,0.086178,17.228586,17.312689,-0.084103
1.0500,33254911.8700,0.048790,17.319713,17.335779,-0.016066
1.0500,31936856.1800,0.048790,17.279271,17.335779,-0.056508
1.0800,29699845.6100,0.076961,17.206652,17.318381,-0.111728
1.0700,29761638.4800,0.067659,17.208731,17.324126,-0.115395
1.0200,33526480.0800,0.019803,17.327846,17.353681,-0.025835
1.0300,31245835.6500,0.029559,17.257397,17.347656,-0.090259
1.0200,29569086.5600,0.019803,17.202240,17.353681,-0.151441
1.0300,27753508.1400,0.029559,17.138873,17.347656,-0.208783
1.0200,28243505.5200,0.019803,17.156374,17.353681,-0.197307
1.0000,29216198.1500,0.000000,17.190234,17.365911,-0.175677
0.9900,29375123.6000,-0.010050,17.195659,17.372118,-0.176459
1.0400,26240072.1100,0.039221,17.082798,17.341689,-0.258891
0.9700,31047484.2700,-0.030459,17.251028,17.384722,-0.133694
0.9700,28485715.9700,-0.030459,17.164913,17.384722,-0.219809
0.9200,28597756.2700,-0.083382,17.168839,17.417407,-0.248568
0.9600,25114228.1100,-0.040822,17.038945,17.391122,-0.352177
0.9900,22617999.3800,-0.010050,16.934257,17.372118,-0.437861
0.8900,28800396.5700,-0.116534,17.175900,17.437881,-0.261981
0.9300,28041335.3800,-0.072571,17.149190,17.410730,-0.261540
0.9800,25083647.1700,-0.020203,17.037727,17.378388,-0.340661
0.9500,27297983.6700,-0.051293,17.122323,17.397589,-0.275266
0.8600,38142088.0400,-0.150823,17.456829,17.459057,-0.002229
0.9300,35264336.0100,-0.072571,17.378383,17.410730,-0.032347
0.9400,34426341.8700,-0.061875,17.354333,17.404125,-0.049792
0.9500,32787079.2100,-0.051293,17.305545,17.397589,-0.092044
0.9300,34721249.9200,-0.072571,17.362862,17.410730,-0.047867
0.7600,52288697.8900,-0.274437,17.772291,17.535400,0.236891
0.8800,36476441.8600,-0.127833,17.412177,17.444859,-0.032682
0.9400,32804733.2200,-0.061875,17.306083,17.404125,-0.098041
0.9100,36801817.6800,-0.094311,17.421058,17.424156,-0.003098
0.9500,35064506.0400,-0.051293,17.372700,17.397589,-0.024889
0.9300,36374516.1400,-0.072571,17.409379,17.410730,-0.001351
0.9300,36335483.7800,-0.072571,17.408305,17.410730,-0.002425
0.9400,35930195.9200,-0.061875,17.397089,17.404125,-0.007036
0.9400,33668450.5500,-0.061875,17.332072,17.404125,-0.072053
0.9000,36584029.3900,-0.105361,17.415122,17.430980,-0.015858
0.9000,37467885.1900,-0.105361,17.438995,17.430980,0.008014
0.8700,39607695.3000,-0.139262,17.494534,17.451918,0.042616
0.8400,42867608.5400,-0.174353,17.573627,17.473590,0.100037
0.8200,46324529.7000,-0.198451,17.651182,17.488472,0.162710
0.8900,39914996.7400,-0.116534,17.502263,17.437881,0.064382
0.9300,36958035.5100,-0.072571,17.425294,17.410730,0.014564
0.9400,40019075.2400,-0.061875,17.504867,17.404125,0.100742
0.9700,40231259.6500,-0.030459,17.510155,17.384722,0.125433
1.0400,35580820.0000,0.039221,17.387317,17.341689,0.045628
1.0200,38489936.1400,0.019803,17.465907,17.353681,0.112226
1.0400,36617023.7900,0.039221,17.416024,17.341689,0.074335
1.0600,39993186.0400,0.058269,17.504220,17.329925,0.174295
1.1000,35567568.4300,0.095310,17.386945,17.307049,0.079896
1.1500,32656123.6300,0.139762,17.301543,17.279596,0.021947
1.2000,32339377.0900,0.182322,17.291796,17.253312,0.038485
1.2300,31201590.2200,0.207014,17.255980,17.238062,0.017918
1.1500,33819909.0900,0.139762,17.336560,17.279596,0.056964
1.1200,34386177.3000,0.113329,17.353165,17.295921,0.057245
1.1000,33592097.7200,0.095310,17.329801,17.307049,0.022753
1.0900,33993931.3100,0.086178,17.341693,17.312689,0.029004
1.0400,37130688.9100,0.039221,17.429954,17.341689,0.088266
1.0800,34126730.9500,0.076961,17.345592,17.318381,0.027211
1.1500,31346091.4600,0.139762,17.260600,17.279596,-0.018996
1.2200,30305112.8900,0.198851,17.226827,17.243103,-0.016276
1.2300,29615008.4900,0.207014,17.203792,17.238062,-0.034270
1.2700,28857581.9800,0.239017,17.177883,17.218297,-0.040414
1.3000,27707046.8200,0.262364,17.137197,17.203878,-0.066681
1.3400,24753513.9500,0.292670,17.024478,17.185162,-0.160684
1.4300,21009730.2100,0.357674,16.860496,17.145016,-0.284519
1.4400,22534698.3800,0.364643,16.930567,17.140712,-0.210145
1.3600,24075126.4900,0.307485,16.996690,17.176012,-0.179322
1.2700,24989702.7500,0.239017,17.033974,17.218297,-0.184323
1.2100,22923062.6500,0.190620,16.947654,17.248186,-0.300532
1.0000,31621221.9000,0.000000,17.269339,17.365911,-0.096572
0.9800,30093540.7000,-0.020203,17.219821,17.378388,-0.158567
0.9600,29583882.6100,-0.040822,17.202740,17.391122,-0.188382
1.0000,30287853.7000,0.000000,17.226257,17.365911,-0.139654
0.8900,38879716.8500,-0.116534,17.475983,17.437881,0.038102
0.9900,38049802.6200,-0.010050,17.454406,17.372118,0.082288
0.9800,38295488.3100,-0.020203,17.460843,17.378388,0.082455
0.9400,42140393.3900,-0.061875,17.556517,17.404125,0.152393
0.9600,39373579.2500,-0.040822,17.488606,17.391122,0.097483
0.7700,61034457.1000,-0.261365,17.926949,17.527327,0.399622
0.8700,41077470.6500,-0.139262,17.530970,17.451918,0.079053
0.9900,33905854.5800,-0.010050,17.339098,17.372118,-0.033020
0.9900,37007797.6900,-0.010050,17.426639,17.372118,0.054521
1.1300,33684175.0100,0.122218,17.332539,17.290431,0.042108
1.2200,32020573.9400,0.198851,17.281889,17.243103,0.038786
1.2500,31595125.2300,0.223144,17.268513,17.228100,0.040413
1.2400,32555119.3200,0.215111,17.298445,17.233061,0.065384
1.2100,34468017.3600,0.190620,17.355542,17.248186,0.107356
1.2100,34785712.5500,0.190620,17.364717,17.248186,0.116531
1.2300,35182320.7800,0.207014,17.376054,17.238062,0.137993
1.1800,35729013.9200,0.165514,17.391474,17.263691,0.127782
1.1800,38315500.4300,0.165514,17.461365,17.263691,0.197674
1.0900,47293921.6000,0.086178,17.671892,17.312689,0.359204
1.1900,36634269.0300,0.173953,17.416495,17.258480,0.158015
1.2600,34397651.1500,0.231112,17.353499,17.223179,0.130320
1.2800,37030893.7300,0.246860,17.427263,17.213453,0.213810
1.2400,37352360.5900,0.215111,17.435907,17.233061,0.202846
1.2100,37039853.8000,0.190620,17.427505,17.248186,0.179319
1.1800,38247669.3300,0.165514,17.459593,17.263691,0.195902
1.1700,37305307.6800,0.157004,17.434646,17.268947,0.165699
1.2100,38010426.1600,0.190620,17.453371,17.248186,0.205185
1.1700,39367336.1800,0.157004,17.488447,17.268947,0.219500
1.3300,32455047.1100,0.285179,17.295367,17.189788,0.105578
1.3100,32608301.5100,0.270027,17.300077,17.199146,0.100932
1.3200,31756097.2200,0.277632,17.273595,17.194449,0.079146
1.3300,32529920.2300,0.285179,17.297671,17.189788,0.107883
1.3300,32817254.1300,0.285179,17.306465,17.189788,0.116677
1.4100,29913744.3700,0.343590,17.213829,17.153714,0.060114
1.4700,28785279.7500,0.385262,17.175375,17.127978,0.047397
1.5700,26808410.6500,0.451076,17.104226,17.087332,0.016894
1.5600,26385081.3600,0.444686,17.088309,17.091279,-0.002969
1.5700,25394902.8200,0.451076,17.050059,17.087332,-0.037273
1.6200,24637148.3800,0.482426,17.019766,17.067971,-0.048205
1.6400,24610645.2100,0.494696,17.018690,17.060393,-0.041703
1.6500,24397166.1900,0.500775,17.009978,17.056638,-0.046661
1.5800,25031589.0900,0.457425,17.035649,17.083411,-0.047762
1.4400,26706971.5100,0.364643,17.100435,17.140712,-0.040277
1.2900,30237911.2300,0.254642,17.224607,17.208647,0.015960
1.1900,32051594.2400,0.173953,17.282857,17.258480,0.024378
1.1500,32336225.0000,0.139762,17.291699,17.279596,0.012103
1.1700,29253484.0000,0.157004,17.191509,17.268947,-0.077438
1.2400,24686675.0000,0.215111,17.021774,17.233061,-0.211287
1.0900,33824253.0000,0.086178,17.336689,17.312689,0.024000
1.0300,35634913.0100,0.029559,17.388836,17.347656,0.041180
1.0700,30757767.0300,0.067659,17.241653,17.324126,-0.082473
1.1800,29102349.3300,0.165514,17.186329,17.263691,-0.077362
0.9800,38267341.6100,-0.020203,17.460107,17.378388,0.081719
1.1300,36703156.7200,0.122218,17.418373,17.290431,0.127942
1.2000,37299945.2200,0.182322,17.434502,17.253312,0.181191
1.0800,42939821.5500,0.076961,17.575310,17.318381,0.256929
1.0900,40171640.8400,0.086178,17.508672,17.312689,0.195983
0.8700,62505646.5200,-0.139262,17.950767,17.451918,0.498850
0.9700,43167806.0900,-0.030459,17.580606,17.384722,0.195883
1.0800,36709887.4900,0.076961,17.418557,17.318381,0.100176
1.0600,40021528.7600,0.058269,17.504928,17.329925,0.175003
1.0700,40741214.0500,0.067659,17.522751,17.324126,0.198625
1.0900,40449603.1200,0.086178,17.515567,17.312689,0.202879
1.0500,41386314.1200,0.048790,17.538461,17.335779,0.202682
1.0300,43409835.7500,0.029559,17.586197,17.347656,0.238541
